职位,薪资,工作时间,公司,工作地点,所在城市
UE4 C++工程师（初级）,10k-20k,1年以下,北京展心展力信息科技有限公司,中轻大厦A座18层,北京
c++开发工程师,10k-18k,不限,中软国际科技服务有限公司,坂田,深圳
c++软件工程师,10k-20k,不限,英特利普（上海）信息技术有限公司,湘江新城,长沙
游戏c++程序,9k-18k,不限,北京像素软件科技股份有限公司,北苑路30号北京文化创意大厦,北京
c++嵌入式开发,10k-20k,不限,睿云联（厦门）网络通讯技术有限公司,思明区软件园二期观日路56号楼10层睿云联网络通讯技术有限公司,厦门
c++开发工程师,12k-20k,不限,睿云联（厦门）网络通讯技术有限公司,思明区软件园二期观日路56号楼10层睿云联网络通讯技术有限公司,厦门
C++开发工程师,10k-13k,在校/应届,上海沙迪克软件有限公司,漕河泾开发区,上海
c++开发工程师,15k-30k,不限,上海亘岩网络科技有限公司,联航路1188弄浦江智谷32号楼,上海
c++开发,13k-18k,不限,深圳市领异科技有限公司,龙华区民治大道1970科技小镇5栋608,深圳
c/c++初级工程师-应届生,9k-13k,在校/应届,杭州英歌智达科技有限公司,庆隆路9号翠苑创立方B幢301,杭州
Java/python/c++/测试/web,15k-30k,不限,北京外企德科人力资源服务上海有限公司,华为北京研究所J园区华为北京研究所Q7大楼,北京
C++开发工程师,10k-15k,在校/应届,上海亘岩网络科技有限公司,联航路1188弄浦江智谷33号楼,上海
c++,9k-18k,在校/应届,上海雅捷信息技术股份有限公司,申虹路683号协信中心1号楼,上海
C++开发工程师,10k-15k,在校/应届,上海亘岩网络科技有限公司,联航路1188弄浦江智谷33号楼,上海
c/c++软件开发工程师,8k-15k,在校/应届,广州市溢信科技股份有限公司,尖山路39号长沙中电软件园一期总部大楼5楼,长沙
c++开发工程师,10k-16k,1-3年,成都国科尚科信息科技有限公司,十所,成都
p l c电气工程师,12k-19k,1-3年,成都国科尚科信息科技有限公司,核动力研究设计工程有限公司华府大道3段299号,成都
C++软件工程师(仿真方向)-北京,20k-40k,1-3年,深圳元戎启行科技有限公司,融科,北京
c++软件开发工程师图形图像 双休 年终福利,20k-40k,5-10年,深圳市法本信息技术股份有限公司,上海地址：上海市浦东新区峨山路101号C1-301,上海
c++开发工程师（福利好双休）,25k-30k,5-10年,深圳市法本信息技术股份有限公司,深圳市南山区粤海街道中科纳能大厦A座6,深圳
c++开发工程师,25k-30k,3-5年,深圳市网新新思软件有限公司,嘉联支付大厦,深圳
C/C++开发（长期，全国，HC充沛）,18k-35k,不限,北京外企德科人力资源服务上海有限公司,上海浦东新区华为技术有限公司上海研究所2222号,上海
资深C++开发/专家,30k-60k,5-10年,猿份（北京）网络科技有限公司,国贸大厦,北京
Java/Python/C++/GO/C开发工程师,20k-40k,不限,北京外企德科人力资源服务上海有限公司,杭州市滨江区江虹路410号,杭州
Linux应用层开发工程师（C++）,25k-50k,3-5年,安芯网盾（北京）科技有限公司,上地五街5号高立二千大厦,北京
c++客户端开发工程师,20k-40k,3-5年,深圳市其域创新科技有限公司,彩讯科创,深圳
c++客户端开发工程师,11k-16k,1-3年,深圳麦风科技有限公司,粤海街道高新区社区高新南一道006号TCL大厦A810,深圳
c/c++开发工程师,15k-22k,1-3年,奇安信科技集团股份有限公司,奇安信安全中心,北京
C++,10k-15k,1-3年,深圳市领异科技有限公司,龙华区民治大道1970科技小镇5栋608,深圳
自动化软件测试工程师C,8k-13k,1-3年,中软国际科技服务有限公司,国腾,成都
中高级Web前端工程师（长春）C,13k-25k,3-5年,中软国际科技服务有限公司,长春一汽总部NBD,长春
实施工程师c（长春）,11k-20k,5-10年,中软国际科技服务有限公司,长春一汽总部NBD,长春
C++多媒体编解码（音视频开发）,25k-45k,3-5年,深圳软牛科技有限公司,宝中前海人寿金融中心T2栋13层,深圳
c++开发工程师,15k-22k,3-5年,深圳市睿服科技有限公司,鵬鼎园区办公大楼A11鹏鼎控股,深圳
c++开发工程师,20k-35k,3-5年,上海微创软件股份有限公司,陆家嘴软件园KYMS中心C1楼301室,上海
研发专家（java/go/C++）,30k-50k,10年以上,天翼云科技有限公司,广报中心南塔19楼,广州
C++服务端开发工程师,8k-15k,1-3年,上海游雁网络科技有限公司广州分公司,东诚大厦五楼,广州
c++服务端开发工程师,10k-15k,1-3年,上海游雁网络科技有限公司广州分公司,东诚大厦五楼,广州
C++图形图像工程师,20k-30k,3-5年,上海微创软件股份有限公司,峨山路101号陆家嘴软件园KYMS中心C1楼301室,上海
c++开发工程师,14k-20k,1-3年,上海微创软件股份有限公司,北京市海淀区中关村软件园24号楼,北京
c++嵌入式开发,3k-4k,在校/应届,睿云联（厦门）网络通讯技术有限公司,新港大道33号星网锐捷科技园3期A楼11层,福州
音视频开发实习生（C/C++）,3k-4k,在校/应届,睿云联（厦门）网络通讯技术有限公司,思明区软件园二期观日路56号楼10层睿云联网络通讯技术有限公司,厦门
中级C/C++工程师,9k-18k,3-5年,腾云创威信息科技（威海）有限公司,中电软件园一期6栋,长沙
C/C++/Java/Python/Web开发,18k-36k,不限,北京外企德科人力资源服务上海有限公司,五和大道深圳华为坂田园区-H区华为软件研发中心,深圳
C++软件开发工程师,10k-20k,1-3年,上海沙迪克软件有限公司,漕河泾开发区,上海
C++软件工程师（Windows桌面应用）,15k-30k,3-5年,ARTOM TECH. HK,和平路21号（清湖地铁站附近） 振华时代广场 317,深圳
c++开发工程师,18k-21k,5-10年,北京柯锐特信息技术有限公司,和盈中心北京市海淀区清河街道和盈中心,北京
c语言开发工程师,20k-40k,3-5年,奇安信科技集团股份有限公司,奇安信科技,北京
软件开发工程师C++,25k-35k,3-5年,中科搏锐（北京）科技有限公司,创富大厦1602,北京
c++开发工程师,18k-25k,3-5年,深圳麦风科技有限公司,粤海街道高新区社区高新南一道006号TCL大厦A810,深圳
