职位,薪资,工作时间,公司,工作地点,所在城市
java开发工程师,15k-30k,不限,科锐尔人力资源服务（苏州）有限公司,都市之门,西安
java开发工程师,13k-26k,不限,北京外企德科人力资源服务上海有限公司,锦业路,西安
java开发工程师,15k-30k,不限,科锐尔人力资源服务（苏州）有限公司,神州大厦,西安
java开发工程师,8k-13k,不限,深圳乐言科技有限公司,深圳湾科技,深圳
java开发工程师,15k-30k,不限,北京外企德科人力资源服务上海有限公司,西安华为丈八七路与锦业路交汇处,西安
Java开发工程师,10k-15k,在校/应届,上海亘岩网络科技有限公司,联航路1188弄浦江智谷33号楼,上海
java开发工程师,8k-15k,不限,广东致创数字科技有限公司,国际创智园10D翔蓝大厦,佛山
java开发工程师,7k-10k,在校/应届,广州数鹏通科技有限公司,五山能源路2号节能与环保大楼,广州
java开发工程师,12k-24k,在校/应届,顺丰科技有限公司,深投控创智天地大厦（科技南一路与高新二道交叉口东北150米）,深圳
java开发工程师,7k-13k,不限,北京睿智思科科技发展有限公司,林萃路1号院上林世家7号楼1单元1502室,北京
java开发工程师,7k-13k,不限,北京睿智思科科技发展有限公司,林萃路1号院上林世家7号楼1单元1502室,北京
Java开发工程师,11k-18k,在校/应届,北京商询科技有限公司,航星科技园,北京
java开发工程师,6k-10k,在校/应届,用友网络科技股份有限公司,北清路68号用友软件园（16号线“永丰”站）,北京
java开发工程师,15k-28k,不限,用友网络科技股份有限公司,北清路68号用友软件园（16号线“永丰”站）,北京
JAVA开发工程师,13k-26k,不限,北京外企德科人力资源服务上海有限公司,坂田华为,深圳
java开发工程师,15k-30k,5-10年,恩士迅信息科技（成都）有限公司,黄埔区中新智慧园A2栋5楼,广州
java开发工程师,15k-20k,5-10年,恩士迅信息科技（成都）有限公司,天府软件园B区,成都
java开发工程师,15k-29k,3-5年,深圳市德科信息技术有限公司,华润前海中心B座,深圳
Java开发工程师,15k-25k,5-10年,中软国际科技服务有限公司,深圳福田区平安金融中心(福华三路)益田路5033号,深圳
java开发工程师,12k-18k,5-10年,京北方信息技术股份有限公司,中博南湖,武汉
java工程师,8k-12k,3-5年,成都富宏科技有限公司,大源国际A3栋,成都
java开发工程师,11k-22k,1-3年,深圳市金证科技股份有限公司,高新南五道金证科技大楼8楼,深圳
高级java开发工程师,18k-22k,5-10年,上海坤亿信息技术有限公司,浦电路399号,上海
java开发工程师,11k-20k,1-3年,京北方信息技术股份有限公司,广州市天河区车陂路113号东宏国际大厦1307房,广州
java高级开发工程师,20k-40k,3-5年,中信银行股份有限公司信用卡中心,福华一路121号中信银行大厦,深圳
java工程师,15k-25k,5-10年,兴业数字金融服务（上海）股份有限公司,烟草大厦,成都
JAVA工程师,12k-18k,3-5年,中科软科技股份有限公司,天府新区天府四街易上,成都
java开发工程师,22k-24k,5-10年,好喔科技（北京）有限公司,联想总部,北京
java开发工程师,22k-30k,5-10年,好喔科技（北京）有限公司,联想总部,北京
java开发工程师,15k-25k,5-10年,中电金信软件有限公司,广电,广州
java开发工程师,9k-18k,1-3年,云仓优选科技（深圳）有限公司,茂业时代广场11楼1108室,深圳
java开发工程师,14k-25k,1-3年,京北方信息技术股份有限公司,南方软件园,珠海
高级java开发工程师,15k-30k,5-10年,好喔科技（北京）有限公司,联想全球总部,北京
高级java开发工程师,11k-18k,3-5年,北京翼辉信息技术有限公司,中铁,西安
java开发工程师,10k-15k,1-3年,中科软科技股份有限公司,广州市黄埔区保利中誉大厦24层,广州
高级java开发工程师,25k-32k,5-10年,前锦网络信息技术（上海）有限公司北京分公司,江耀路晶耀前滩T6幢,上海
高级java开发工程师,20k-40k,3-5年,润欣商业投资（深圳）有限公司,华润置地大厦B座,深圳
java开发工程师,15k-30k,3-5年,联想（北京）有限公司,外贸商务大厦,苏州
java高级开发工程师,20k-25k,3-5年,上海珞瑾数据信息有限公司,外滩SOHO A座5楼,上海
java高级开发工程师,20k-40k,5-10年,深圳市丰宜科技有限公司,新洲十一街万基商务大厦1楼,深圳
Java开发工程师,12k-20k,1-3年,中电金信软件有限公司,文一西路70号,杭州
java开发工程师,20k-25k,5-10年,中电金信软件有限公司,广电平云广场,广州
java工程师,10k-16k,3-5年,北京联龙博通电子商务技术有限公司,航天科技大厦10层,成都
java开发工程师,10k-15k,1-3年,广州数鹏通科技有限公司,五山能源路2号节能与环保大楼,广州
java开发工程师,10k-17k,1-3年,深圳市翌日科技有限公司,深圳市宝安区大宝路83号美生慧谷生谷3楼,深圳
java开发工程师,15k-30k,1-3年,北京外企德科人力资源服务上海有限公司,华为坂田,深圳
Java开发工程师,12k-17k,1-3年,公诚管理咨询有限公司,帝都大厦5A09,广州
Java高级开发工程师,15k-20k,3-5年,公诚管理咨询有限公司,帝都大厦5A09,广州
java高级开发工程师,12k-20k,5-10年,格尔软件股份有限公司,高朋大道11号A座1楼,成都
Java开发工程师,9k-14k,1-3年,广州华资软件技术有限公司,建中路12号,广州
java开发工程师,20k-40k,5-10年,前锦网络信息技术（上海）有限公司北京分公司,企业大厦,深圳
Java,12k-22k,3-5年,深圳市拓保软件有限公司,广州市天河区珠江东路30号广州银行大厦,广州
java开发工程师,10k-16k,3-5年,上海淳南信息技术有限公司,金隅,呼和浩特
java开发工程师,15k-25k,1-3年,融捷教育科技有限公司,清华科技园,北京
java开发工程师,15k-20k,3-5年,上海马帮科技有限公司,上海市闵行区新龙路500号虹桥万创中心一期T3-3层,上海
java开发工程师,9k-16k,3-5年,京北方信息技术股份有限公司,天府三街旁边,成都
java工程师,15k-20k,3-5年,深圳市创鑫互联通信技术有限公司,高新技术产业园R2-B 608,深圳
高级java开发工程师,19k-34k,5-10年,前锦网络信息技术（上海）有限公司北京分公司,西二旗,北京
java开发工程师,15k-20k,3-5年,维恩贝特科技有限公司,大剧院,深圳
java开发工程师,14k-28k,3-5年,深圳市汇合发展有限公司,天府四街招商银行后台服务中心,成都
高级java开发工程师,15k-30k,5-10年,上海畅指网络科技有限公司广州分公司,黄埔大道东840号保利鱼珠港A1幢行信中心,广州
java工程师,15k-22k,3-5年,广州群接龙网络科技有限公司,新港中路397号TIT创意园 创意西街43号（纺园公寓对面）,广州
java开发工程师,17k-23k,5-10年,京北方信息技术股份有限公司,华强路交通银行大厦,深圳
Java高级开发工程师,14k-20k,3-5年,广州华资软件技术有限公司,建中路12号,广州
