职位,薪资,工作时间,公司,工作地点,所在城市
java/Python/web开发工程师,15k-30k,不限,科锐尔人力资源服务（苏州）有限公司,都市之门,西安
python开发工程师,7k-14k,不限,北京睿智思科科技发展有限公司,林萃路1号院上林世家7号楼1单元1502室,北京
python开发工程师,12k-24k,不限,杭州五色云网络技术有限公司,紫霞街176号杭州互联网创新创业园4号楼807,杭州
python开发工程师,15k-30k,不限,中软国际科技服务有限公司,中软国际,西安
python开发工程师,9k-18k,不限,多益网络有限公司,伴河路90号,广州
python开发工程师,13k-23k,不限,中软国际科技服务有限公司,金苏路200号万创中心E栋,上海
python开发工程师,12k-24k,不限,北京外企德科人力资源服务上海有限公司,华为研究院,西安
python开发工程师,15k-30k,不限,北京外企德科人力资源服务上海有限公司,武汉华为研究所,武汉
python开发工程师,16k-32k,不限,北京外企德科人力资源服务上海有限公司,坂田华为基地,深圳
python开发工程师,15k-30k,不限,北京外企德科人力资源服务上海有限公司,华为北京研究所J园区华为北京研究所Q7大楼,北京
python开发工程师,15k-30k,不限,北京外企德科人力资源服务上海有限公司,华为南研所,南京
python后端工程师-驻场,11k-22k,不限,北京庖丁科技有限公司,北京朝阳门附近,北京
Java/python/c++/测试/web,15k-30k,不限,北京外企德科人力资源服务上海有限公司,华为北京研究所J园区华为北京研究所Q7大楼,北京
初级Python研发工程师,8k-16k,不限,云孚科技（北京）有限公司,中关村国际孵化园D座304,北京
python研发工程师,6k-12k,不限,云孚科技（北京）有限公司,营北社区,武汉
python开发工程师,15k-30k,1-3年,科锐尔人力资源服务（苏州）有限公司,都市之门,西安
python开发工程师,15k-25k,3-5年,柏美迪康环境科技（上海）股份有限公司,美年中心,成都
python后端开发工程师,11k-17k,1-3年,成都中云天下科技有限公司,天府软件园C区8座3层,成都
Python开发工程师,10k-20k,1-3年,云孚科技（北京）有限公司,中关村国际孵化园D座304,北京
Python开发工程师,3k-4k,在校/应届,睿云联（厦门）网络通讯技术有限公司,思明区软件园二期观日路56号楼10层睿云联网络通讯技术有限公司,厦门
Python开发工程师,20k-30k,3-5年,广州爱范儿科技股份有限公司,新港中路397号TIT创意园区新港中路397号品牌街5号,广州
Python开发工程师,10k-20k,1-3年,广州爱范儿科技股份有限公司,新港中路397号TIT创意园区新港中路397号品牌街5号,广州
python开发工程师,20k-30k,3-5年,北京云庐科技有限公司,万丰路316号A座501,北京
python开发工程师,15k-20k,3-5年,广州发业信息科技有限公司,珠江新城华穗路263号双城国际东塔23楼整层,广州
python开发工程师,15k-18k,3-5年,上海坤亿信息技术有限公司,博世,苏州
python开发工程师,23k-30k,3-5年,北京浮德光电科技有限公司,学清路,北京
Python开发工程师,20k-30k,1-3年,因诺（上海）资产管理有限公司,宣外大街6号庄胜广场西翼816,北京
Java/Python/C++/GO/C开发工程师,20k-40k,不限,北京外企德科人力资源服务上海有限公司,杭州市滨江区江虹路410号,杭州
Python开发工程师,10k-14k,1-3年,北京视野智慧数字科技有限公司,盈都大厦B座17层,北京
Python工程师,14k-18k,3-5年,北京视野智慧数字科技有限公司,盈都大厦B座17层,北京
