职位,薪资,工作时间,公司,工作地点,所在城市
高级前端开发工程师,15k-25k,5-10年,雷神科技有限公司,软件新城二期C11栋14楼,武汉
web前端实习生,7k-14k,不限,北京金科汇智科技有限公司,南三环西路16号院2号楼2009,北京
前端开发工程师,10k-15k,在校/应届,上海亘岩网络科技有限公司,联航路1188弄浦江智谷33号楼,上海
前端开发工程师,9k-15k,在校/应届,宁波邻家网络科技有限公司,翠柏路89号宁波工程学院A座13楼,宁波
前端开发工程师,7k-10k,在校/应届,广州数鹏通科技有限公司,五山能源路2号节能与环保大楼,广州
前端开发工程师,10k-18k,在校/应届,北京柏睿数据技术股份有限公司,武汉光谷保利国际中心,武汉
前端开发工程师,12k-16k,不限,上海微创软件股份有限公司,武汉经济技术开发区南太子湖创新谷启迪协信科创园7号楼B栋,武汉
前端开发工程师,15k-30k,在校/应届,杭州硕磐智能科技有限公司,钱江电气大厦17楼,杭州
前端开发工程师,10k-15k,在校/应届,上海亘岩网络科技有限公司,联航路1188弄浦江智谷33号楼,上海
前端开发工程师,10k-18k,在校/应届,北京柏睿数据技术股份有限公司,望京东园七区保利国际广场T1,北京
前端开发工程师,12k-24k,在校/应届,顺丰科技有限公司,深投控创智天地大厦（科技南一路与高新二道交叉口东北150米）,深圳
前端工程师,6k-12k,在校/应届,千瓦科技（上海）有限公司,亮秀路112号,上海
前端开发工程师,14k-28k,不限,北京外企德科人力资源服务上海有限公司,华为研究,武汉
前端开发工程师,15k-30k,不限,北京外企德科人力资源服务上海有限公司,坂田华为,深圳
前端开发工程师,15k-30k,在校/应届,欧科互动网络科技（北京）有限公司,创业路8号群英科技园3号楼4楼/5楼,北京
前端架构师,25k-45k,5-10年,成都薯片科技有限公司,顶呱呱政企服务中心,成都
前端开发工程师,15k-20k,5-10年,恩士迅信息科技（成都）有限公司,天府软件园B区,成都
前端开发工程师,14k-20k,5-10年,中电金信软件有限公司,OCG,成都
前端开发工程师,15k-18k,3-5年,中电金信软件有限公司,太古汇,广州
前端开发工程师,10k-15k,3-5年,成都富宏科技有限公司,大源国际A3栋903,成都
前端开发工程师,15k-24k,3-5年,活跃网络（成都）有限公司,IFS国际金融中心1号办公楼49楼,成都
前端开发工程师,13k-20k,3-5年,京北方信息技术股份有限公司,市桥,广州
前端开发工程师,16k-20k,3-5年,深圳市法本信息技术股份有限公司,华泰创业园,杭州
前端开发工程师,15k-30k,5-10年,恩士迅信息科技（成都）有限公司,黄埔区中新智慧园A2栋5楼,广州
前端开发工程师,18k-25k,5-10年,中电金信软件有限公司,太古汇,广州
前端开发工程师,10k-16k,3-5年,广东瀚阳轨道信息科技有限公司,神州路18号润慧科技园E栋2楼,广州
前端开发工程师,8k-15k,1-3年,云仓优选科技（深圳）有限公司,东华集团,深圳
前端开发工程师,12k-24k,5-10年,上海美嘉林软件科技股份有限公司,桂平路418号512室,上海
H5前端开发工程师,10k-14k,1-3年,深圳市名通科技股份有限公司,深圳市南山区科技园科发路8号金融基地2栋10A,深圳
前端开发工程师,11k-13k,1-3年,广州市数商云网络科技有限公司,天银商贸厦14楼,广州
前端工程师-氚云,25k-50k,3-5年,深圳奥哲网络科技有限公司,深圳南山区科兴科学园B1栋18层,深圳
web前端开发工程师,10k-15k,1-3年,中科软科技股份有限公司,雍和宫壹中心,北京
前端开发工程师,15k-30k,3-5年,美的集团股份有限公司,花城大道武汉软件新城,武汉
前端开发工程师,20k-40k,3-5年,探探科技（北京）有限公司,东大桥路光华路SOHO二期C座1601,北京
