职位,薪资,工作时间,公司,工作地点,所在城市
算法工程师,15k-25k,在校/应届,北京梦想绽放技术有限公司,爱奇艺创新大厦,北京
算法工程师,15k-30k,在校/应届,北京格灵深瞳信息技术股份有限公司,天地邻枫创新产业园1号楼B栋,北京
算法工程师,15k-30k,不限,北京外企德科人力资源服务上海有限公司,华为基地,深圳
算法工程师,15k-20k,不限,易华路集成科技有限责任公司,华录大厦,北京
算法工程师,5k-10k,不限,深圳极市科技有限公司,深圳市南山区创业路1777号海信南方大厦23层,深圳
数据挖掘工程师,12k-24k,不限,多益网络有限公司,伴河路90号,广州
算法工程师,15k-30k,不限,北京外企德科人力资源服务上海有限公司,华为北京研究所J园区华为北京研究所Q7大楼,北京
算法工程师,15k-30k,不限,北京外企德科人力资源服务上海有限公司,九峰三路207号华为武汉研究所,武汉
算法工程师,10k-20k,不限,北京外企德科人力资源服务上海有限公司,华为研究所,武汉
算法工程师,15k-20k,不限,北京外企德科人力资源服务上海有限公司,华为坂田,深圳
NLP自然语言处理算法工程师,15k-30k,不限,云孚科技（北京）有限公司,中关村国际孵化园D座304,北京
视觉算法工程师,15k-25k,不限,深圳市翌日科技有限公司,深圳市宝安区大宝路83号美生慧谷生谷3楼,深圳
AI算法工程师,15k-25k,不限,睿云联（厦门）网络通讯技术有限公司,软件园二期观日路56号10楼,厦门
图像算法工程师,12k-24k,在校/应届,杭州英歌智达科技有限公司,庆隆路9号翠苑创立方B幢301,杭州
助理算法工程师,10k-20k,1年以下,北京安声科技有限公司,科兴科学园D3栋,深圳
数据挖掘算法工程师 - 反作弊方向,30k-60k,不限,抖音视界（北京）有限公司,南海大道2163号来福士广场15层,深圳
数据挖掘算法工程师,20k-40k,3-5年,抖音视界（北京）有限公司,中关村大街11号E世界财富中心A座12F,北京
数据挖掘/机器学习算法工程师-电商,30k-60k,1-3年,抖音视界（北京）有限公司,中国大陆浙江杭州市余杭区仓前街道爱力中心1幢6层，邮编：311121,杭州
数据挖掘/机器学习算法工程师-电商,30k-60k,1-3年,抖音视界（北京）有限公司,中国大陆上海上海市杨浦区江湾城路99号尚浦商务中心11号楼，邮编：200438,上海
机器学习算法工程师（数据挖掘方向）,30k-60k,3-5年,上海寻梦信息技术有限公司,娄山关路533号金虹桥国际中心,上海
资深图形算法工程师,45k-70k,5-10年,广州沃佳科技有限公司,员村南街TIT,广州
数据挖掘工程师,20k-35k,3-5年,北京地平线云数科技有限公司,酒仙桥路14号兆维工业园区C3座,北京
机器学习算法工程师,50k-100k,5-10年,海一淘（成都）科技有限公司,中关村软件园,北京
算法工程师/专家,12k-24k,1-3年,北京外企德科人力资源服务上海有限公司,华为研究所,武汉
推荐算法工程师,30k-50k,3-5年,TCL实业控股股份有限公司,深圳南山区中山园路1001号TCL国际E城TCL多媒体大厦,深圳
HYK-机器学习算法工程师,25k-40k,3-5年,顺丰科技有限公司,上海市虹口区海伦中心A座32楼,上海
美团地图-数据挖掘算法工程师,30k-45k,不限,北京三快在线科技有限公司,望京利泽中园101号望京科技创业园G座（启明大厦）,北京
数据挖掘算法工程师-抖音账号方向,20k-40k,3-5年,抖音视界（北京）有限公司,创业路3023号公园一号办公楼,深圳
数据挖掘算法工程师 -【主站安全】,25k-45k,3-5年,北京达佳互联信息技术有限公司,上地八街七号院融科融智,北京
【算法工程师】数据挖掘、运筹优化,40k-60k,5-10年,五八同城信息技术有限公司,58,北京
机器学习/数据挖掘/自然语言处理工程师,20k-40k,在校/应届,杭州硕磐智能科技有限公司,钱江电气大厦17楼,杭州
数据挖掘算法工程师（intern01）,4k-5k,在校/应届,上海宏原信息科技有限公司,虹漕路456号12号光启大楼1803,上海
机器学习/nlp算法工程师,30k-50k,3-5年,五八同城信息技术有限公司,58集团总部,北京
自然语言处理算法工程师,18k-25k,3-5年,深圳市德科信息技术有限公司,华润前海中心B座,深圳
JYJ-机器学习算法工程师,25k-35k,3-5年,顺丰科技有限公司,科技南一路68号深投控创智天地大厦B栋,深圳
SJZ-风控机器学习/数据挖掘,25k-45k,3-5年,顺丰科技有限公司,顺丰创新中心1号楼5楼,杭州
算法工程师,10k-18k,1-3年,深圳市水务科技有限公司,绿景红树湾壹号A座37楼,深圳
算法工程师,25k-40k,3-5年,北京创智汇聚科技有限公司,苏州街维亚大厦,北京
算法工程师,25k-40k,不限,北京云庐科技有限公司,万丰路316号A座501,北京
算法工程师,12k-16k,1-3年,阿依瓦（北京）技术有限公司,优盛大厦c座,北京
算法工程师,20k-40k,在校/应届,杭州硕磐智能科技有限公司,钱江电气大厦17楼,杭州
算法工程师,18k-35k,不限,上海叠腾网络科技有限公司,上海市徐汇区宜山路1398号,上海
算法工程师,14k-20k,1-3年,广州寄锦教育科技有限公司,丰兴广场写字楼A幢15层,广州
算法工程师,20k-40k,不限,北京格灵深瞳信息技术股份有限公司,天地邻枫创新产业园1号楼B栋,北京
PTBU-NLP算法工程师,30k-50k,5-10年,广州酷狗计算机科技有限公司,天河区黄埔大道中315号羊城创意园1-18,广州
机器学习算法工程师,20k-40k,1-3年,百度在线网络技术（北京）有限公司,百度科技园,北京
机器学习专家/算法工程师,18k-35k,3-5年,深圳微众信用科技股份有限公司,软件园一期8栋2楼,深圳
资深算法工程师（机器学习平台） (MJ007312),35k-55k,3-5年,广州希音供应链管理有限公司,坪山一路南山云谷二期8栋203B号,深圳
商业策略研发部_机器学习/数据挖掘/自然语言处理,25k-50k,不限,百度在线网络技术（北京）有限公司,百度科技园,北京
联盟研发部_机器学习/数据挖掘/自然语言处理工程师,25k-45k,不限,百度在线网络技术（北京）有限公司,百度科技园,北京
机器学习算法工程师-游戏AI,30k-60k,3-5年,抖音视界（北京）有限公司,中国大陆广东深圳市南山区招商街道水湾社区蛇口望海路1166号招商局广场，邮编：518000,深圳
机器学习算法工程师-风控方向,35k-65k,3-5年,北京达佳互联信息技术有限公司,上地八街七号院融科融智,北京
机器学习算法工程师,35k-50k,5-10年,上海零数众合信息科技有限公司,峨山路101号C3,上海
机器学习算法工程师,30k-60k,3-5年,北京嘀嘀无限科技发展有限公司,中关村,北京
机器学习算法工程师,20k-40k,1-3年,北京美摄网络科技有限公司,西四环北路131号,北京
机器学习算法工程师,25k-40k,1-3年,富途网络科技（深圳）有限公司,科兴科学园D栋1单元25层,深圳
机器学习算法工程师 – 游戏AI和推荐方向(T012989),30k-60k,3-5年,上海寻梦信息技术有限公司,娄山关路533号金虹桥国际中心,上海
机器学习/数据挖掘专家,30k-60k,3-5年,北京三快在线科技有限公司,望京东路科创大厦,北京
MEG商业体系_高级机器学习算法工程师,30k-60k,不限,百度在线网络技术（北京）有限公司,百度科技园,北京
机器学习算法工程师,30k-60k,3-5年,抖音视界（北京）有限公司,知春路65号中国卫星通信大厦,北京
机器学习算法工程师,40k-60k,3-5年,神策网络科技（北京）有限公司,知春路量子芯座大厦11层,北京
算法工程师,15k-30k,1-3年,北京浮德光电科技有限公司,学清路,北京
算法工程师,25k-30k,3-5年,北京浮德光电科技有限公司,学清路,北京
算法工程师,40k-70k,3-5年,上海寻梦信息技术有限公司,娄山关路533号金虹桥国际中心,上海
算法工程师,30k-50k,不限,广推科技（北京）有限公司,乐成中心A座2001,北京
算法工程师,14k-18k,1-3年,上海微创软件股份有限公司,中交城,武汉
数据挖掘工程师,20k-40k,不限,抖音视界（北京）有限公司,中国大陆北京北京市海淀区北三环西路43号中航广场1号楼（矮楼），邮编：100089,北京
算法工程师,20k-40k,3-5年,深圳萨摩耶数字科技有限公司,海阳西路512号前滩东方广场一期23楼,上海
算法工程师,25k-35k,3-5年,每平每屋（上海）科技有限公司,峨山路91弄130号陆家嘴软件园12号楼,上海
算法工程师,20k-35k,3-5年,深圳市博悦科创科技有限公司,深圳市前海深港合作区前湾一路1号A栋201室,深圳
数据挖掘工程师,16k-22k,3-5年,中移互联网有限公司,高唐路323号中国移动南方基地智汇中心,广州
数据挖掘工程师,30k-60k,3-5年,维沃移动通信有限公司,壹方中心,深圳
算法工程师,10k-20k,3-5年,杏树林信息技术（北京）有限公司,广渠门外首东国际大厦A座3层,北京
数据挖掘工程师,20k-30k,3-5年,弘康人寿保险股份有限公司,建国路甲92号世茂大厦14层,北京
算法工程师,15k-30k,3-5年,西安人瑞网络科技有限公司,上海市青浦区崧泽大道333号（国家会展中心）,上海
算法工程师,20k-35k,3-5年,冶金自动化研究设计院有限公司,西四环南路72号,北京
算法工程师,15k-22k,3-5年,深圳博沃智慧科技有限公司,中南路2-7号中建广场b座14K,武汉
算法工程师,30k-60k,5-10年,深圳市尚游网络科技有限公司,科技园高新南一道赋安科技大厦B座6楼-7楼,深圳
数据挖掘工程师,20k-40k,3-5年,广州虎牙科技有限公司,广州市番禺区汉溪大道时代E-park A3栋,广州
算法工程师,15k-30k,5-10年,河南优臻交通科技有限公司,中原金融产业园12号楼12楼豫州行,郑州
算法工程师,25k-50k,1-3年,百度在线网络技术（北京）有限公司,百度大厦,北京
算法工程师,30k-60k,1-3年,北京格灵深瞳信息技术股份有限公司,天地邻枫创新产业园1号楼B栋,北京
算法工程师,25k-50k,3-5年,讯康信息技术（深圳）有限公司,科苑路15号科兴科学园B1栋2楼,深圳
算法工程师,15k-25k,1-3年,北京微财科技有限公司,由由世纪广场2号楼,上海
算法工程师,20k-35k,1-3年,北京微财科技有限公司,方正国际大厦,北京
算法工程师,16k-22k,1-3年,中软国际科技服务有限公司,天安云谷,深圳
数据挖掘工程师,25k-50k,不限,抖音视界（北京）有限公司,北三环西路43号中航广场1号楼（矮楼）,北京
